Distrito;NOME;display_name;quantidade;soma;media;desvpad popul;desvpad amostral;QTLINBUS2018;KMLINBUS/are2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;tempo_medio; TEMP2010_5MIN ; TEMP2010_30MIN ; TEMP2010_60MIN ; TEMP2010_120MIN ; TEMP2010_121MIN ; TEMP2010_0MIN ;PDOMC2010;PDOMM2010
355030875;SAO RAFAEL;UberX;9928;3127680;315;134,3457102;134,3592436;37;14347,0992366412;163;0;451,95;13,1;156616;11955,41985;49024;924;7735;0,480095287;69,9193548387;0,02;0,07;0,1;0,11;0,04;0,67;0,086222994;0,430924082
355030876;SAPOPEMBA;UberX;6283;1368540;217;87,8393264;87,8533091;119;40411,5727002967;361;0;544,94;13,48;288801;21424,40653;93088;2230;27249;0,417886002;62,2580645161;0,02;0,08;0,13;0,1;0,02;0,65;0,088903215;0,462999981
355030877;SAUDE;UberX;6629;1153200;173;71,35648257;71,36724848;102;30923,4019501625;211;3;2569,83;9,23;133735;14489,16576;53072;5263;82477;0,109527852;42,9032258065;0,02;0,14;0,16;0,04;0;0,64;0,074209925;0,749000114
355030878;SE;UberX;1612;373380;231;102,7951228;102,8589311;280;180804,147465438;141;5;909,48;2,17;26154;12052,53456;10636;6685;91290;0,38470373;39,1129032258;0,03;0,2;0,15;0,02;0;0,6;0,049730734;0,282605812
355030879;SOCORRO;UberX;9281;2038320;219;96,99319676;97,00364861;114;28954,7639484979;94;0;1867,74;11,65;36356;3120,686695;12469;1861;33484;0,216684752;64,8387096774;0,03;0,15;0,14;0,09;0,02;0,58;0,108735494;0,715070742
355030880;TATUAPE;UberX;6081;1057260;173;71,76832579;71,78012979;172;55,1257413998;176;2;2158,82;8,43;95364;11312,45552;35620;5985;72574;0,111168077;48,064516129;0,02;0,12;0,13;0,06;0,01;0,66;0,08180692;0,726796259
355030881;TREMEMBE;UberX;41200;20587560;499;245,571863;245,5778236;82;7315,1183020181;344;0;720,45;57,48;218574;3802,609603;67925;1479;21706;0,39827156;61,6129032258;0,01;0,07;0,13;0,1;0,02;0,67;0,106882033;0,457435717
355030882;TUCURUVI;UberX;6937;1386720;199;89,58245151;89,59536709;101;35486,5466101695;184;2;1278,74;9,44;96856;10260,16949;33681;2327;22432;0,193259342;51,2096774194;0,01;0,1;0,12;0,08;0,01;0,68;0,081431074;0,635144256
355030883;VILA ANDRADE;UberX;7197;1639560;227;108,3023165;108,3173668;86;24002,03685742;128;1;1959,59;10,31;156904;15218,6227;56037;2162;28052;0,414683305;52,6612903226;0,01;0,1;0,15;0,07;0,01;0,65;0,11588941;0,540071479
355030884;VILA CURUCA;UberX;7202;1452960;201;87,58959856;87,60176209;108;36624,3157894737;263;0;503,43;9,5;152431;16045,36842;48689;1111;9179;0,512643154;65,0806451613;0,02;0,07;0,08;0,12;0,03;0,68;0,070114342;0,405207713
355030885;VILA FORMOSA;UberX;5523;1064520;192;79,5965092;79,61092363;76;37,4825737265;184;0;1259,87;7,46;94307;12641,68901;31955;2752;32857;0,204611863;47,5;0,02;0,11;0,11;0,07;0,01;0,69;0,084999315;0,618632024
355030886;VILA GUILHERME;UberX;5322;1002900;188;80,7249634;80,74013441;83;26195,3038674033;160;0;1212,16;7,24;56611;7819,198895;19118;2274;45838;0,222046346;47,1774193548;0,02;0,13;0,12;0,06;0,01;0,66;0,087802806;0,625508372
355030887;VILA JACUI;UberX;6304;1245120;197;84,07849904;84,09183848;119;41,7142857143;176;0;537,57;7,84;145045;18500,63776;47363;1112;10903;0,490537408;57,9032258065;0,02;0,08;0,1;0,1;0,02;0,68;0,080243486;0,435595289
355030888;VILA LEOPOLDINA;UberX;5073;1059600;208;114,3385126;114,3610557;59;30989,8134863702;89;0;2942,63;6,97;44199;6341,319943;16189;3147;61538;0,145178077;42,5806451613;0,02;0,16;0,17;0,03;0;0,61;0,086612675;0,708038166
355030889;VILA MARIA;UberX;8673;1734300;199;82,20330767;82,21278683;58;27395,1735817104;233;0;821,8;11,81;113835;9638,865368;37509;3708;50704;0,343184203;39,435483871;0,03;0,12;0,11;0,04;0,01;0,7;0,076992716;0,457995645
355030890;VILA MARIANA;UberX;6156;1108020;179;78,78091554;78,79371504;184;52438,5428907168;251;7;3757,39;8,51;132016;15513,04348;55524;8385;157992;0,087789306;37,6612903226;0,02;0,15;0,14;0,03;0;0,65;0,069012689;0,746577513
355030891;VILA MATILDE;UberX;6733;1179600;175;70,77289069;70,7834036;60;22037,191011236;232;4;985,87;8,9;105522;11856,40449;35598;2068;25967;0,25470952;55,6451612903;0,02;0,1;0,13;0,09;0,01;0,65;0,081539488;0,589042142
355030892;VILA MEDEIROS;UberX;5915;1133160;191;79,69261147;79,70608672;64;33596,2915601023;205;0;723,93;7,82;124500;15920,71611;40188;1768;17023;0,342029856;48,9516129032;0,02;0,11;0,12;0,07;0,01;0,67;0,100574379;0,505949705
355030893;VILA PRUDENTE;UberX;7038;1404240;199;84,0925314;84,10448145;103;43525,3684210526;219;2;1188,42;9,5;104649;11015,68421;36792;2619;28670;0,189942151;44,2741935484;0,02;0,13;0,12;0,05;0,01;0,67;0,076383955;0,606790949
355030894;VILA SONIA;UberX;7764;1693560;218;97,30159216;97,31412618;76;23,6407185629;156;0;1759,48;10,02;119354;11911,57685;40368;2530;34946;0,279994834;59,1129032258;0,02;0,11;0,15;0,09;0,01;0,62;0,100101553;0,669254314
